municipality,state,country,veg_landuse_type_point_level1,veg_landuse_type_point_level2,veg_landuse_type_buffer5km_level1,veg_landuse_type_buffer5km_level2,temperature,relative_humidity,plant_order,plant_family,plant_genera,plant_species_complete_name,plant_type,plant_habit,plant_flower_colour,plant_flower_shape,invertebrate_order,invertebrate_family,invertebrate_genera,invertebrate_species_complete_name,invertebrate_origins,invertebrate_behavior,invertebrate_collector_structure,plant_collected_material,invertebrate_collected
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,591,2387,1,7,11,11,7
139,18,1,9,14,21,0,21.0,91.0,17,0,546,1254,1,10,43,10,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,5,18,58,140,2,0,76,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,5,18,658,1519,1,0,76,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,28,26,667,1555,1,10,67,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,9,36,386,887,2,16,76,8,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,21,55,20,34,1,16,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,132,312,1,10,95,8,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,195,450,2,16,76,9,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,201,465,2,0,55,9,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,33,73,517,1186,1,10,67,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,511,1176,1,10,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,680,998,1,10,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,418,989,1,10,76,2,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,173,389,1,10,76,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,280,652,2,13,76,42,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,14,128,343,790,2,13,88,8,5,121,617,2523,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,9,376,869,2,9,95,10,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,201,465,2,0,55,9,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,368,854,1,10,55,9,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,57,425,1006,1,10,62,42,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,511,1176,1,10,76,2,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,680,998,1,10,76,2,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,135,316,2,0,95,10,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,280,652,2,13,76,42,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,525,1214,2,10,76,42,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,14,128,343,790,2,13,88,8,5,121,617,2515,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,368,854,1,10,55,9,5,121,617,2518,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2518,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2518,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,5,18,658,1519,1,0,76,42,5,121,617,2520,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,57,425,1006,1,10,62,42,5,121,617,2520,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,5,18,58,140,2,0,76,42,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,33,73,517,1186,1,10,67,42,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,680,998,1,10,76,2,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,64,158,2,16,88,10,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,173,389,1,10,76,42,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2526,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,33,73,517,1186,1,10,67,42,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,511,1176,1,10,76,2,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,680,998,1,10,76,2,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,173,389,1,10,76,42,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,525,1214,2,10,76,42,5,121,617,2524,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,201,465,2,0,55,9,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,33,73,517,1186,1,10,67,42,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,680,998,1,10,76,2,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,280,652,2,13,76,42,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,525,1214,2,10,76,42,5,121,617,2514,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,9,36,386,887,2,16,76,8,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,201,465,2,0,55,9,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,64,158,2,16,88,10,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,173,389,1,10,76,42,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,280,652,2,13,76,42,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,525,1214,2,10,76,42,5,121,617,2522,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,0,546,1254,1,10,43,10,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,201,465,2,0,55,9,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,15,56,326,729,2,16,76,2,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,17,67,14,21,1,10,76,2,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,33,73,517,1186,1,10,67,42,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,124,288,2,16,49,42,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,680,864,1,10,43,29,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,22,77,511,1176,1,10,76,2,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,243,552,15,16,76,2,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,23,88,418,989,1,10,76,2,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,264,628,2,16,76,10,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,135,316,2,0,95,10,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,280,652,2,13,76,42,5,121,617,2512,1,7,14,16,2
139,18,1,9,14,21,0,21.0,91.0,16,117,525,1214,2,10,76,42,5,121,617,2512,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,658,1526,1,10,76,42,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,67,14,22,1,10,76,2,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,280,652,2,13,76,42,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,57,425,1006,1,10,62,42,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,401,952,1,10,43,2,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,243,553,1,10,76,2,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,22,39,69,1,10,43,29,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,28,26,627,1463,1,10,43,29,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,30,114,274,641,1,10,43,29,5,121,9,24,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,658,1526,1,10,76,42,5,121,9,23,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,67,14,22,1,10,76,2,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,566,1289,1,10,95,29,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,65,165,1,10,86,29,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,9,36,386,888,1,10,76,8,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,400,934,1,10,76,29,5,121,9,25,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,118,147,342,15,16,76,29,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,243,553,1,10,76,2,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,22,77,74,184,1,10,76,2,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,630,1467,1,10,76,42,5,121,19,48,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,23,54,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,208,478,1,10,76,42,5,121,23,54,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,658,1526,1,10,76,42,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,67,14,22,1,10,76,2,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,518,1197,1,10,43,29,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,501,1162,2,10,76,42,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,201,464,1,10,55,9,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,18,28,1,7,43,29,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,178,397,1,10,95,29,5,121,88,353,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,658,1526,1,10,76,42,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,518,1197,1,10,43,29,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,304,692,2,0,76,42,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,501,1162,2,10,76,42,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,201,464,1,10,55,9,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,6,24,169,381,1,10,76,29,5,121,132,586,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,132,587,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,304,692,2,0,76,42,5,121,132,587,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,22,605,1422,1,10,95,29,5,121,132,587,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,245,558,1,10,76,2,5,121,132,587,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,21,55,553,1267,1,10,43,29,5,121,132,587,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,204,944,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,204,944,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,81,635,1474,1,10,43,29,5,121,204,944,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,109,496,1144,1,10,49,29,5,121,204,944,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,9,53,109,1,16,76,42,5,121,210,978,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,518,1197,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,9,53,109,1,16,76,42,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,280,652,2,13,76,42,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,201,464,1,10,55,9,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,132,312,1,10,95,8,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,118,147,342,15,16,76,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,120,183,422,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,6,24,169,381,1,10,76,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,519,1205,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,81,123,287,2,16,76,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,8,29,532,1221,1,10,76,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,40,680,364,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,3,3,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,211,485,1,10,43,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,173,389,1,10,76,42,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,22,129,197,454,1,10,76,29,5,121,210,979,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,22,605,1422,1,10,95,29,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,501,1162,2,10,76,42,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,33,73,597,1399,1,10,76,29,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,251,586,1,10,76,42,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,118,310,700,1,10,49,29,5,121,210,981,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,224,1066,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,518,1197,1,10,43,29,5,121,224,1066,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,22,77,511,1176,1,10,76,2,5,121,224,1069,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,224,1070,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,224,1070,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,9,53,109,1,16,76,42,5,121,224,1070,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,21,90,445,1036,1,10,95,29,5,121,224,1070,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,37,65,2,16,43,29,5,121,224,1070,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,258,1204,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,10,41,680,370,1,10,43,29,5,121,258,1204,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,323,1460,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,501,1162,2,10,76,42,5,121,323,1460,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,630,1467,1,10,76,42,5,121,323,1460,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,323,1452,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,323,1452,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,9,53,109,1,16,76,42,5,121,323,1452,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,21,97,458,1073,1,10,43,29,5,121,323,1452,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,22,330,759,1,10,55,29,5,121,323,1452,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,23,88,680,998,1,10,76,2,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,518,1197,1,10,43,29,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,16,117,304,692,2,0,76,42,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,34,81,635,1474,1,10,43,29,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,21,97,458,1073,1,10,43,29,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,17,22,255,610,1,10,43,29,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,28,26,680,207,1,10,43,29,5,121,323,1454,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,326,729,2,16,76,2,5,121,323,1455,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,15,56,368,854,1,10,55,9,5,121,323,1455,1,7,14,16,2
160,18,1,9,14,21,0,22.0,65.0,5,18,680,117,1,10,43,29,5,121,323,1455,1,7,14,16,2
